Channel,Frequency,Value,Label
C3,29,26.802834522808045,left_hand
C3,30,25.98691421373119,left_hand
C4,0,43.20919060704786,left_hand
C4,1,46.158667440627774,left_hand
C4,2,46.127217274679225,left_hand
C4,3,43.64290321609871,left_hand
C4,4,43.39727179504929,left_hand
C4,5,39.90404683709067,left_hand
C4,6,34.57880728770399,left_hand
C4,7,33.23132179500658,left_hand
C4,8,29.7007419831565,left_hand
C4,9,29.843744753395548,left_hand
C4,10,29.927607655775006,left_hand
C4,11,29.297559147029084,left_hand
C4,12,29.455339155832604,left_hand
C4,13,30.018297508222794,left_hand
C4,14,29.641343121317348,left_hand
C4,15,28.31722092927215,left_hand
C4,16,26.01102461477108,left_hand
C4,17,26.334144392074933,left_hand
C4,18,26.007210555613366,left_hand
C4,19,24.49525925792217,left_hand
C4,20,23.53744200769295,left_hand
C4,21,21.169240147841485,left_hand
C4,22,21.72993669045944,left_hand
C4,23,22.696926257484634,left_hand
C4,24,21.951773627770276,left_hand
C4,25,22.117323447480498,left_hand
C4,26,23.167612124882716,left_hand
C4,27,25.08781938588909,left_hand
C4,28,24.72353691026056,left_hand
C4,29,24.253899094959973,left_hand
C4,30,23.806092785242498,left_hand
